SDS 2.4	AQ Results	1.0
Filename	CKCO3-170830
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/30/17 6:17:35 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
112	E16	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
113	E17	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
114	E18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
115	E19	jimmy161209	FAM	Unknown	33.395523			7.252945E-4						Automatic Ct		Automatic			Automatic	0.051114295													
116	E20	jimmy161209	FAM	Unknown	34.562416			3.599518E-4						Automatic Ct		Automatic			Automatic	0.051114295													
117	E21	jimmy161209	FAM	Unknown	33.903442			5.3465465E-4						Automatic Ct		Automatic			Automatic	0.051114295													
118	E22	jimmy161209	FAM	Unknown	33.44113			7.057028E-4						Automatic Ct		Automatic			Automatic	0.051114295													
119	E23	jimmy161209	FAM	Unknown	32.57545			0.0011867251						Automatic Ct		Automatic			Automatic	0.051114295													
120	E24	jimmy161209	FAM	Unknown	32.463196			0.0012694651						Automatic Ct		Automatic			Automatic	0.051114295													
121	F1	jimmy161209	FAM	Standard	Undetermined			1.0E-5						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
122	F2	jimmy161209	FAM	Standard	Undetermined			1.0E-5						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
123	F3	jimmy161209	FAM	Standard	Undetermined			1.0E-5						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
124	F4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
125	F5	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
126	F6	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
