SDS 2.3	Background Spectra	1.0
Well Nb	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
74	827.5	832.3571	843.9286	857.0	862.4286	869.4286	883.0	888.0	894.3571	902.5	908.4286	907.3571	903.9286	902.8571	907.0	898.6429	892.5714	896.2143	889.3571	893.4286	891.9286	881.7143	889.1429	888.9286	884.0	876.6429	882.7143	874.6429	875.5714	875.4286	868.9286	868.5
75	826.4286	841.7857	857.8571	863.2857	862.2143	873.5714	884.7857	891.7857	896.7857	905.1429	906.2857	915.0	913.7143	912.5714	903.3571	900.0	898.5714	893.6429	895.1429	896.0	896.1429	889.0714	885.9286	880.5714	882.5714	879.6429	879.9286	876.4286	871.0714	873.2857	874.0714	871.0714
76	823.4286	833.2143	848.3571	861.7857	860.2143	869.2143	883.2857	888.0	892.4286	891.0714	904.0	911.5714	909.3571	910.0714	904.2857	896.5	900.4286	895.5	900.7143	889.8571	891.2857	886.7857	889.1429	885.0	883.0714	879.4286	876.6429	879.6429	877.7143	875.1429	876.5714	871.2143
77	826.9286	838.6429	853.2857	853.5	866.5714	873.5714	883.7143	890.7857	900.9286	909.0	910.7143	906.5714	913.2143	908.3571	908.4286	905.2857	899.2143	894.3571	901.2857	890.2143	896.0	890.5714	890.1429	886.3571	882.7143	883.7143	877.6429	879.1429	882.6429	876.5	872.1429	870.6429
78	823.3571	833.7857	860.0	871.6429	894.7143	911.0714	928.5714	946.0714	961.7143	977.8571	987.2857	989.1429	987.6429	984.0714	982.5714	976.4286	966.9286	961.7143	953.7143	956.7143	964.8571	957.1429	955.5714	951.2857	949.7143	949.2857	949.8571	951.1429	945.8571	943.4286	941.7857	939.7143
79	825.5714	835.3571	859.4286	865.5	870.6429	874.2857	884.2857	900.0714	903.5714	909.2857	915.0	923.2857	914.6429	908.2143	915.7143	908.6429	904.9286	904.5714	901.7143	897.7143	894.0	892.2857	892.8571	889.0	887.0	889.0714	885.0	883.6429	881.4286	878.2857	877.0714	878.6429
80	826.4286	837.7857	857.4286	863.4286	864.4286	878.7143	881.8571	898.2857	904.0	913.0714	916.1429	920.7143	917.8571	916.2143	916.0714	912.7143	904.2857	902.5714	902.5	899.1429	901.2857	890.8571	892.5	891.4286	889.1429	890.5714	886.0	888.2143	887.4286	880.7143	882.1429	878.0
81	819.7143	840.2143	864.7143	865.6429	870.5	876.9286	884.5	894.2143	903.5714	915.8571	909.6429	916.0714	912.5714	917.9286	914.1429	906.4286	907.4286	902.0	903.0	895.0	894.0	892.4286	891.2857	892.4286	889.0714	885.6429	883.5	883.8571	880.2857	875.6429	874.2143	873.0
82	824.0714	840.3571	864.5	870.8571	865.7857	872.9286	880.3571	898.6429	904.7857	910.1429	919.1429	920.9286	914.6429	913.5	908.3571	910.2857	904.2857	900.3571	895.7857	896.4286	897.7857	895.7857	891.9286	886.9286	886.8571	887.0	884.2857	882.2143	883.7857	880.1429	876.5714	870.8571
83	825.0	843.9286	856.7857	860.2143	866.0	880.2143	885.0714	894.4286	906.7143	910.5	915.2143	921.7857	920.4286	919.0714	913.3571	910.2857	904.6429	900.5	903.7857	899.5	896.1429	891.4286	890.2143	889.0	890.7857	885.9286	884.9286	883.4286	883.4286	884.5714	874.2143	871.8571
84	826.9286	834.7857	855.2143	868.0714	870.4286	879.5714	892.4286	900.8571	909.2143	913.9286	916.5714	926.6429	917.5714	918.6429	916.4286	914.4286	912.0	900.8571	902.0	899.8571	901.5	897.1429	893.4286	889.5714	890.2143	892.1429	885.9286	889.0714	883.1429	881.5	876.4286	875.2857
85	825.0	844.4286	867.5	863.5	875.7857	882.2143	891.2143	902.2857	902.2857	914.7143	923.8571	925.5	924.4286	922.3571	920.5	914.2857	912.3571	903.5714	901.7857	902.7857	898.1429	898.0714	897.0714	890.3571	893.0714	891.5714	885.0	887.0714	884.2143	880.7857	880.0714	876.3571
86	823.2857	842.9286	860.5	872.7143	876.9286	876.1429	890.5	894.5	911.7857	915.3571	923.0	921.4286	920.9286	918.0	913.0714	915.7143	903.7143	903.8571	900.0714	904.0714	899.7143	892.3571	897.7143	887.7857	886.6429	892.2857	888.0714	883.5714	885.6429	880.7857	875.4286	869.7143
