date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box
2016-06-15,1217,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",26,,4,,Jimmy O'Donnell,1841,,135,,1.4,
2016-06-15,1218,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",12,,5,,Jimmy O'Donnell,,,136,smudged filter with finger,1.4,
2016-06-15,1218,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",36,,6,,Jimmy O'Donnell,,,137,,1.4,
2016-06-15,,water-deionized,,Jimmy O'Donnell,deionized water,,1,,Jimmy O'Donnell,1700,,120,,1.4,
2016-06-03,,water-aquarium,Aquarium323,Jimmy O'Donnell,,Danio rerio; Microsorum pteropus,1,,Jimmy O'Donnell,,,AQ323-160603,,5,
2016-06-03,,water-aquarium,AquariumJimmy,Jimmy O'Donnell,,Poecilia wingei; Neocaridina denticulata davidi; Microsorum pteropus; Hypnaceae sp,1,,Jimmy O'Donnell,,,AQJO-160603A,,5,
2016-06-03,,water-aquarium,AquariumJimmy,Jimmy O'Donnell,,Poecilia wingei; Neocaridina denticulata davidi; Microsorum pteropus; Hypnaceae sp,1,,Jimmy O'Donnell,,,AQJO-160603B,,5,
2017-02-14,0815,water-marine,Cattail,Jimmy O'Donnell,CT01,from shore side approx 3m upstream from post,1,,Abi Wells,1336,,138,,1,170215
2017-02-14,0816,water-marine,Cattail,Jimmy O'Donnell,CT02,from shore side approx 3m upstream from post,2,,Jimmy O'Donnell,1340,,139,,1,170215
2017-02-14,0817,water-marine,Cattail,Jimmy O'Donnell,CT03,from shore side approx 3m upstream from post,3,,Jimmy O'Donnell,1340,,140,,1,170215
2017-02-14,0818,water-marine,Cattail,Jimmy O'Donnell,CT04,from shore side approx 3m upstream from post,4,,Jimmy O'Donnell,1340,,141,,1,170215
2017-02-14,0819,water-marine,Cattail,Jimmy O'Donnell,CT05,from shore side approx 3m upstream from post,5,,Abi Wells,1350,,142,,1,170215
2017-02-14,0838,water-marine,Grain of Sand,Jimmy O'Donnell,GS01,from upstream side approx 2m from post,1,JimmyPhone,Jimmy O'Donnell,1320,,143,,1,170215
2017-02-14,0839,water-marine,Grain of Sand,Jimmy O'Donnell,GS02,from upstream side approx 2m from post,2,JimmyPhone,Jimmy O'Donnell,1320,,144,,1,170215
2017-02-14,0840,water-marine,Grain of Sand,Jimmy O'Donnell,GS03,from upstream side approx 2m from post,3,JimmyPhone,Jimmy O'Donnell,1320,,145,,1,170215
2017-02-14,0841,water-marine,Grain of Sand,Jimmy O'Donnell,GS04,from upstream side approx 2m from post,4,JimmyPhone,Abi Wells,1336,,146,,1,170215
2017-02-14,0842,water-marine,Grain of Sand,Jimmy O'Donnell,GS05,from upstream side approx 2m from post,5,JimmyPhone,Abi Wells,1336,,147,,1,170215
2017-02-14,0910,water-marine,Ika Upper,Ole Shelton,AG005,,1,,Abi Wells,1350,,148,,1,170215
2017-02-14,0911,water-marine,Ika Upper,Ole Shelton,no label,,2,,Abi Wells,1350,,149,,1,170215
2017-02-14,0912,water-marine,Ika Upper,Ole Shelton,no label,,3,,Jimmy O'Donnell,1400,,150,bottle not full: weight before - after = final; 761-93=668,1,170215
2017-02-14,0913,water-marine,Ika Upper,Ole Shelton,13,,4,,Jimmy O'Donnell,1400,,151,,1,170215
2017-02-14,0914,water-marine,Ika Upper,Ole Shelton,19,,5,,Jimmy O'Donnell,1400,,152,filter grid light gray,1,170215
2017-02-14,0923,water-marine,Ika Lower,Ole Shelton,29,,1,,Abi Wells,,,153,,1,170215
2017-02-14,0924,water-marine,Ika Lower,Ole Shelton,15,,2,,Abi Wells,,,154,filter grid light gray,1,170215
2017-02-14,0925,water-marine,Ika Lower,Ole Shelton,10,,3,,Abi Wells,,,155,filter grid light gray,1,170215
2017-02-14,0926,water-marine,Ika Lower,Ole Shelton,17,,4,,Jimmy O'Donnell,,,156,,1,170215
2017-02-14,0927,water-marine,Ika Lower,Ole Shelton,45,,5,,Jimmy O'Donnell,,,157,,1,170215
2017-02-14,,water-deionized,,,DIH2O1,,1,,Jimmy O'Donnell,,,158,,1,170215
2017-02-14,,water-deionized,,,DIH2O2,,1,,Jimmy O'Donnell,,,,,1,170215
2017-02-15,0849,water-marine,Tom Moore,Jimmy O'Donnell,GS01,collected downstream of codend,1,JimmyPhone,Abi Wells,1215,,200,filter extremeley gunky,1,170215
2017-02-15,0850,water-marine,Tom Moore,Jimmy O'Donnell,GS02,collected downstream of codend,2,JimmyPhone,Jimmy O'Donnell,1230,,201,,1,170215
2017-02-15,0851,water-marine,Tom Moore,Jimmy O'Donnell,GS03,collected downstream of codend,3,JimmyPhone,Jimmy O'Donnell,1230,,202,,1,170215
2017-02-15,0852,water-marine,Tom Moore,Jimmy O'Donnell,10,collected downstream of codend,4,JimmyPhone,Jimmy O'Donnell,1230,,203,,1,170215
2017-02-15,0853,water-marine,Tom Moore,Jimmy O'Donnell,45,collected downstream of codend,5,JimmyPhone,Abi Wells,1233,,204,,1,170215
2017-02-15,0910,water-marine,Deepwater,Jimmy O'Donnell,17,collected approx 1m upstream of tide gauge,1,JimmyPhone,Jimmy O'Donnell,1209,,205,,1,170215
2017-02-15,0911,water-marine,Deepwater,Jimmy O'Donnell,13,collected approx 1m upstream of tide gauge,2,JimmyPhone,Jimmy O'Donnell,1209,,206,,1,170215
2017-02-15,0912,water-marine,Deepwater,Jimmy O'Donnell,15,collected approx 1m upstream of tide gauge,3,JimmyPhone,Jimmy O'Donnell,1209,,207,,1,170215
2017-02-15,0912,water-marine,Deepwater,Jimmy O'Donnell,19,collected approx 1m upstream of tide gauge,4,JimmyPhone,Abi Wells,1215,,208,,1,170215
2017-02-15,0913,water-marine,Deepwater,Jimmy O'Donnell,29,collected approx 1m upstream of tide gauge,5,JimmyPhone,Abi Wells,1215,,209,,1,170215
2017-02-15,,water-deionized,,Jimmy O'Donnell,DIH2O1,,1,,Abi Wells,1233,,210,,1,170215
2017-02-15,0800,water-marine,Wylie Boat Ramp,Ole Shelton,103,,1,JimmyPhone,Abi Wells,1233,,211,,1,170215
2017-02-15,0801,water-marine,Wylie Boat Ramp,Ole Shelton,108,,2,JimmyPhone,Abi Wells,1245,,212,,1,170215
2017-02-15,0802,water-marine,Wylie Boat Ramp,Ole Shelton,105,,3,JimmyPhone,Abi Wells,1245,,213,,1,170215
2017-02-15,0803,water-marine,Wylie Boat Ramp,Ole Shelton,107,,4,JimmyPhone,Abi Wells,1245,,214,,1,170215
2017-02-15,0804,water-marine,Wylie Boat Ramp,Ole Shelton,109,,5,JimmyPhone,Jimmy O'Donnell,1300,,215,,1,170215
