date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box,EXTRACT
2/14/17,839,water-marine,Grain of Sand,Jimmy O'Donnell,GS02,from upstream side approx 2m from post,2,JimmyPhone,Jimmy O'Donnell,1320,,144,,1,170215,Y
2/14/17,840,water-marine,Grain of Sand,Jimmy O'Donnell,GS03,from upstream side approx 2m from post,3,JimmyPhone,Jimmy O'Donnell,1320,,145,,1,170215,Y
2/14/17,841,water-marine,Grain of Sand,Jimmy O'Donnell,GS04,from upstream side approx 2m from post,4,JimmyPhone,Abi Wells,1336,,146,,1,170215,Y
2/14/17,842,water-marine,Grain of Sand,Jimmy O'Donnell,GS05,from upstream side approx 2m from post,5,JimmyPhone,Abi Wells,1336,,147,,1,170215,
2/14/17,910,water-marine,Ika Upper,Ole Shelton,AG005,,1,,Abi Wells,1350,,148,,1,170215,Y
2/14/17,911,water-marine,Ika Upper,Ole Shelton,no label,,2,,Abi Wells,1350,,149,,1,170215,Y
2/14/17,912,water-marine,Ika Upper,Ole Shelton,no label,,3,,Jimmy O'Donnell,1400,,150,bottle not full: weight before - after = final; 761-93=668,1,170215,Y
2/14/17,913,water-marine,Ika Upper,Ole Shelton,13,,4,,Jimmy O'Donnell,1400,,151,,1,170215,Y
2/14/17,914,water-marine,Ika Upper,Ole Shelton,19,,5,,Jimmy O'Donnell,1400,,152,filter grid light gray,1,170215,
2/14/17,923,water-marine,Ika Lower,Ole Shelton,29,,1,,Abi Wells,,,153,,1,170215,Y
2/14/17,924,water-marine,Ika Lower,Ole Shelton,15,,2,,Abi Wells,,,154,filter grid light gray,1,170215,Y
2/14/17,925,water-marine,Ika Lower,Ole Shelton,10,,3,,Abi Wells,,,155,filter grid light gray,1,170215,Y
2/14/17,926,water-marine,Ika Lower,Ole Shelton,17,,4,,Jimmy O'Donnell,,,156,,1,170215,Y
2/14/17,927,water-marine,Ika Lower,Ole Shelton,45,,5,,Jimmy O'Donnell,,,157,,1,170215,
2/14/17,,water-deionized,,,DIH2O1,,1,,Jimmy O'Donnell,,,158,,1,170215,
2/14/17,,water-deionized,,,DIH2O2,,1,,Jimmy O'Donnell,,,,,1,170215,
2/15/17,849,water-marine,Tom Moore,Jimmy O'Donnell,GS01,collected downstream of codend,1,JimmyPhone,Abi Wells,1215,,200,filter extremeley gunky,1,170215,Y
2/15/17,850,water-marine,Tom Moore,Jimmy O'Donnell,GS02,collected downstream of codend,2,JimmyPhone,Jimmy O'Donnell,1230,,201,,1,170215,Y
2/15/17,851,water-marine,Tom Moore,Jimmy O'Donnell,GS03,collected downstream of codend,3,JimmyPhone,Jimmy O'Donnell,1230,,202,,1,170215,Y
2/15/17,852,water-marine,Tom Moore,Jimmy O'Donnell,10,collected downstream of codend,4,JimmyPhone,Jimmy O'Donnell,1230,,203,,1,170215,Y
2/15/17,853,water-marine,Tom Moore,Jimmy O'Donnell,45,collected downstream of codend,5,JimmyPhone,Abi Wells,1233,,204,,1,170215,
2/15/17,910,water-marine,Deepwater,Jimmy O'Donnell,17,collected approx 1m upstream of tide gauge,1,JimmyPhone,Jimmy O'Donnell,1209,,205,,1,170215,Y
2/15/17,911,water-marine,Deepwater,Jimmy O'Donnell,13,collected approx 1m upstream of tide gauge,2,JimmyPhone,Jimmy O'Donnell,1209,,206,,1,170215,Y
2/15/17,912,water-marine,Deepwater,Jimmy O'Donnell,15,collected approx 1m upstream of tide gauge,3,JimmyPhone,Jimmy O'Donnell,1209,,207,,1,170215,Y
2/15/17,912,water-marine,Deepwater,Jimmy O'Donnell,19,collected approx 1m upstream of tide gauge,4,JimmyPhone,Abi Wells,1215,,208,,1,170215,Y
2/15/17,913,water-marine,Deepwater,Jimmy O'Donnell,29,collected approx 1m upstream of tide gauge,5,JimmyPhone,Abi Wells,1215,,209,,1,170215,
